route_id,route_number,route_direction,source_id,destination_id,source_name,destination_name,route_type_id,route_name,via,google_distance,google_time,deleted_status
40217,356-M MDL-SRN,UP,74,1491,Madivala,Surya Nagara,3,Madivala To Surya Nagara,Electronic City ,17693,1468,0
40599,356-M SRN-KBS,UP,1489,8456,Surya Nagara,Kempegowda Bus Station,3,Surya Nagara To Kempegowda Bus Station,Electronic City Lalbagh MainGate,36128,5964,0
19888,356-P,UP,5139,42,Basaveshwaranagara New Bus Stand,Electronic City (Towards Attibele),3,Basaveshwara Nagara New Bus Stand To Electronic City,Kempegowda Bus Station Madivala ,34333,5043,0
19889,356-P,DOWN,6723,5139,Electronic City (Towards Bommanahalli),Basaveshwaranagara New Bus Stand,3,Electronic City To Basaveshwara Nagara New Bus Stand,Madivala Kempegowda Bus Station ,24985,4145,0
20124,356-Q,DOWN,8470,8456,ELC Wipro Main  Gate,Kempegowda Bus Station,3,Electronic City Wipro Gate To Kempegowda Bus Station,Bommanahalli,25207,4120,0
20126,356-Q,UP,160,8470,Kempegowda Bus Station,ELC Wipro Main  Gate,3,Kempegowda Bus Station To Electronic City Wipro Gate,Bommanahalli,23634,3479,0
7603,356-Z,UP,9424,3340,Chandapura (Towards Anekal),Anekal,3,Chandapura To Anekal,Iggaluru,11294,1182,0
7605,356-Z,DOWN,3344,376,Anekal,Chandapura (Towards Electronic City),3,Anekal To Chandapura,Iggaluru,11118,1086,0
25018,356-ZA,UP,9424,12206,Chandapura (Towards Anekal),Kempu Dommasandra,3,Chandapura To Kempu Dommasandra,Anekal,16332,2238,0
25019,356-ZA,DOWN,12206,376,Kempu Dommasandra,Chandapura (Towards Electronic City),3,Kempu Dommasandra To Chandapura,Anekal,16368,2158,0
40222,356-ZA  ANK-KDMS,UP,3340,12206,Anekal,Kempu Dommasandra,3,Anekal To Kempu Dommasandra,K Dommasanda  Cross,5112,696,0
40224,356-ZA KDMS-ANK,DOWN,12206,3344,Kempu Dommasandra,Anekal,3,Kempu Dommasandra To Anekal,K Dommasandra Cross,5132,690,0
33981,356CK-FLY,UP,10379,8470,Koramangala TTMC,ELC Wipro Main  Gate,3,Koramangala TTMC To Electronic City Wipro Gate,Central Silk Board Fly Over,16302,2546,0
42056,356J YSTF-AGS-ATB,UP,4651,8546,5th Phase Yalahanka New Town ,Attibele Bus Stand,3,5th Phase Yalahanka New Town  To Attibele Bus Stand,AGS MRC,56537,7516,0
29903,357 BDP-KBS,DOWN,6999,8456,Bandapura,Kempegowda Bus Station,3,Bandapura To Kempegowda Bus Station,KR Market,34944,4764,0
29899,357 KBS-BDP,UP,160,7000,Kempegowda Bus Station,Bandapura,3,Kempegowda Bus Station To Bandapura,KR Market Lalbagh Main Gate Bommanahalli Electronic City Chandapura,36476,4548,0
28914,357-A,UP,3014,6998,KR Market (Kalasipalya),Marsuru Madivala,3,KR Market To Marsuru Madivala,Chandapura,31179,3581,0
32071,357-A,DOWN,12483,3014,Marasur Madivala,KR Market (Kalasipalya),3,Marasur Madiwala To KR Market,Townhall Central Silk Board,33542,4711,0
32073,357-A,UP,3014,12482,KR Market (Kalasipalya),Marasur Madivala,3,KR Market To Marasur Madiwala,Townhall Bengaluru Dairy Circle,32752,4008,0
40832,357-A  MMDL-CPR,DOWN,12483,376,Marasur Madivala,Chandapura (Towards Electronic City),3,Marasur Madivala To Chandapura (Towards Electronic City),Neraluru Gate,7305,843,0
40830,357-A  MMDL-MDL,DOWN,12483,50,Marasur Madivala,Madivala,3,Marasur Madivala To Madivala,Chandapura  Electronic City,24301,2993,0
40831,357-A MDL-MMDL,UP,74,12482,Madivala,Marasur Madivala,3,Madivala To Marasur Madivala,Electronic City Chandapura,23652,2062,0
44188,357-A MMDL-SRN,DOWN,12483,1491,Marasur Madivala,Surya Nagara,3,Marasur Madivala To Surya Nagara,Chandapura,8548,1048,0
44189,357-A SRN-MMDL,UP,1489,12482,Surya Nagara,Marasur Madivala,3,Surya Nagara To Marasur Madivala,Chandapura,9272,1079,0
29614,358-A KBS-MYS,UP,160,9682,Kempegowda Bus Station,Mayasandra,3,Kempegowda Bus Station To Mayasandra,Madivala Chandapura ,41645,4891,0
29616,358-A MYS-KBS,DOWN,9684,8456,Mayasandra,Kempegowda Bus Station,3,Mayasandra Attibele Area To Kempegowda Bus Station,Chandapura Madivala,38930,5294,0
29604,359-A,UP,160,3143,Kempegowda Bus Station,Adigondanahalli,3,Kempegowda Bus Station To Adigondanahalli,Bommanahalli,51088,6356,0
29727,359-A,DOWN,3142,8456,Adigondanahalli,Kempegowda Bus Station,3,Adigondanahalli To Kempegowda Bus Station,Bommanahalli,36496,4952,0
4741,36-A,UP,160,1373,Kempegowda Bus Station,Avalahalli BDA Park Girinagara,3,Kempegowda Bus Station To Avalahalli BDA Layout,KR Market,10800,1648,0
4743,36-A,DOWN,4938,8456,Avalahalli BDA Park Girinagara,Kempegowda Bus Station,3,Avalahalli BDA Layout To Kempegowda Bus Station,KR Market,9100,1425,0
34375,36-B,UP,5177,8456,Girinagara Extension,Kempegowda Bus Station,3,Girinagara Extension To Kempegowda Bus Station,KR Market,10106,2395,0
34376,36-B,DOWN,160,5178,Kempegowda Bus Station,Girinagara Extension,3,Kempegowda Bus Station To Girinagara Extension ,KR Market,14241,2991,0
21153,36-D,UP,160,1683,Kempegowda Bus Station,Muneshwara Block ,3,Kempegowda Bus Station To Muneshwara Block,Corporation KR Market Chamarajapete,12610,2740,0
21155,36-D,DOWN,1683,8456,Muneshwara Block ,Kempegowda Bus Station,3,Muneshwara Block Bus Station To Kempegowda Bus Station,Chamarajapete Corporation,9064,2150,0
27994,36-F,UP,4926,8456,Kalidasa Layout,Kempegowda Bus Station,3,Kalidasa Layout To Kempegowda Bus Station,Chamarajapete,9742,2229,0
27995,36-F,DOWN,160,4926,Kempegowda Bus Station,Kalidasa Layout,3,Kempegowda Bus Station To Kalidasa Layout,KR Market Chamarajapete ,12748,2779,0
42791,36-F KDB-KBS,DOWN,4926,8456,Kalidasa Layout,Kempegowda Bus Station,3,Kalidasa Layout To Kempegowda Bus Station,KR Market Vidhana Soudha Maharanis College ,12542,2865,0
15394,36-G,UP,160,4933,Kempegowda Bus Station,Avalahalli New BDA Layout,3,Kempegowda Bus Station To Avalahalli New BDA Layout,Corporation KR Market Chamarajapete Ganesh Bhavana Nagendra Block Avalahalli BDA Park,10799,2178,0
20449,36-G,DOWN,4934,8456,Avalahalli New BDA Layout,Kempegowda Bus Station,3,Avalahalli New BDA Layout To Kempegowda Bus Station,Avalahalli BDA Park Nagendra Block Ward Office Chamarajapete KR Market Corporation,9462,2196,0
40236,36-G AVBDA-KMT,DOWN,4934,4266,Avalahalli New BDA Layout,KR Market,3,Avalahalli New BDA Layout To KR Market,Avalahalli BDA Park Nagendra Block Ward Office Chamarajapete,5761,1381,0
36968,36-G KBS-BEML5,UP,160,936,Kempegowda Bus Station,BEML Layout 5th stage,3,Kempegowda Bus Station To BEML Layout 5th stage,KR Market Nayandahalli RR Temple BEML Complex,19444,4196,0
